Player,Minutes Played,Starting,Substitute,Substituted In,Substituted Out,Position,Age,Market Value,Club
Abdoulaye Diaby,1364,15,10,5,2,Centre-Back,23,,FC St. Gallen 1879
Adrian Durrer,268,3,14,5,2,Defensive Midfield,22,,FC Winterthur
Adrian Gantenbein,1742,18,11,8,4,Right-Back,22,,FC Winterthur
Adrian Grbic,588,6,2,2,3,Centre-Forward,27,,FC Luzern
Adrian Leon Barisic,1468,17,2,1,2,Centre-Back,22,,FC Basel 1893
Adriano Onyegbule,59,1,8,0,1,Attacking Midfield,17,,FC Basel 1893
Adrián Guerrero,1509,16,7,5,0,Left Midfield,26,,FC Zürich
Aimen Mahious,1364,16,5,4,10,Centre-Forward,26,,Yverdon Sport FC
Alban Ajdini,2005,24,5,5,16,Centre-Forward,24,,FC Stade-Lausanne-Ouchy
Albert Vallci,2700,30,0,0,0,Centre-Back,28,,FC St. Gallen 1879
Albian Ajeti,46,0,2,2,0,Centre-Forward,26,,FC Basel 1893
Albian Hajdari,2191,26,3,2,6,Centre-Back,20,,FC Lugano
Albin Krasniqi,178,0,17,8,0,Right Winger,20,,FC St. Gallen 1879
Aldin Turkes,1392,17,9,7,9,Centre-Forward,27,,FC Winterthur
Alexander Lyng,0,0,8,0,0,Right Winger,19,,Servette FC
Alexandre Jankewitz,1419,18,1,0,8,Defensive Midfield,22,,FC Winterthur
Alexis Antunes,1508,18,6,4,13,Attacking Midfield,23,,Servette FC
Aliou Baldé,430,5,0,0,1,Right Winger,20,,FC Lausanne-Sport
Allan Arigoni,982,13,3,2,8,Right-Back,25,,FC Lugano
Alvyn Sanches,1455,16,5,5,7,Central Midfield,21,,FC Lausanne-Sport
Amadou Dante,630,7,1,1,1,Left-Back,23,,FC Zürich
Amir Abrashi,2462,29,0,0,8,Central Midfield,34,,Grasshopper Club Zurich
Amir Saipi,2400,27,0,0,1,Goalkeeper,23,,FC Lugano
Andrin Hunziker,44,0,4,1,0,Centre-Forward,20,,FC Basel 1893
Anel Husic,1476,16,12,3,2,Centre-Back,23,,FC Lausanne-Sport
Anthony Baron,737,8,11,3,2,Centre-Back,31,,Servette FC
Anthony Racioppi,1350,15,16,0,0,Goalkeeper,25,,BSC Young Boys
Anthony Sauthier,2135,24,1,1,3,Right-Back,33,,Yverdon Sport FC
Anto Grgic,1422,16,5,4,4,Defensive Midfield,27,,FC Lugano
Antoine Baroan,224,3,2,2,3,Centre-Forward,23,,FC Winterthur
Antoine Bernede,2728,31,0,0,6,Central Midfield,24,,FC Lausanne-Sport
Anton Kade,1765,22,5,1,8,Left Midfield,20,,FC Basel 1893
Antonio Marchesano,1914,21,8,8,16,Attacking Midfield,33,,FC Zürich
Arad Bar,0,0,4,0,0,Central Midfield,23,,FC Zürich
Archie Brown,270,3,0,0,0,Left-Back,21,,FC Lausanne-Sport
Ardon Jashari,2445,27,2,2,3,Defensive Midfield,21,,FC Luzern
Armstrong Oko-Flex,202,1,24,11,1,Left Winger,22,,FC Zürich
Arnau Comas,482,7,0,0,5,Centre-Back,23,,FC Basel 1893
Asumah Abubakar,844,8,13,8,5,Centre-Forward,26,,Grasshopper Club Zurich
