Club,H/A,Timestamp,Event,Player Event,Remark Event,Player Assist,Player Out,Match ID
FC Lausanne-Sport,Home,87',Yellow Card,Brighton Labeau,Foul,,,4244801
Servette FC,Away,42',Goal,Alexis Antunes,Counter attack goal,Timothé Cognat,,4244802
BSC Young Boys,Home,60',Substitution,Silvere Ganvoula,Tactical,,Joel Mvuka,4244802
BSC Young Boys,Home,60',Substitution,Joël Monteiro,Tactical,,Ebrima Colley,4244802
BSC Young Boys,Home,60',Substitution,Darian Males,Tactical,,Lukasz Lakomy,4244802
Servette FC,Away,71',Substitution,Théo Magnin,Tactical,,Takuma Nishimura,4244802
BSC Young Boys,Home,71',Substitution,Cheikh Niasse,Tactical,,Sandro Lauper,4244802
BSC Young Boys,Home,75',Substitution,Noah Persson,Tactical,,Jaouen Hadjam,4244802
Servette FC,Away,78',Substitution,Jérémy Guillemenot,Tactical,,Alexis Antunes,4244802
Servette FC,Away,90',Substitution,Dylan Bronn,Tactical,,Dereck Kutesa,4244802
Servette FC,Away,7',Yellow Card,Takuma Nishimura,Dissent,,,4244802
