Club,H/A,Timestamp,Event,Player Event,Remark Event,Player Assist,Player Out,Match ID
FC Zürich,Away,90',Yellow Card,Fabian Rohner,Unsporting behaviour,,,4244835
FC Luzern,Home,59',Substitution,Adrian Grbic,Tactical,,Lars Villiger,4244836
FC Luzern,Home,59',Substitution,Teddy Okou,Tactical,,Thibault Klidjé,4244836
FC Lausanne-Sport,Away,60',Substitution,Kaly Sène,Tactical,,Brighton Labeau,4244836
FC Luzern,Home,71',Substitution,Dario Ulrich,Tactical,,Luca Jaquez,4244836
FC Luzern,Home,71',Substitution,Jakub Kadák,Tactical,,Max Meyer,4244836
FC Lausanne-Sport,Away,74',Substitution,Fousseni Diabaté,Tactical,,Donat Rrudhani,4244836
FC Lausanne-Sport,Away,74',Substitution,Simone Pafundi,Tactical,,Antoine Bernede,4244836
FC Luzern,Home,83',Substitution,Nicolas Haas,Tactical,,Nicky Beloko,4244836
FC Lausanne-Sport,Away,89',Substitution,Samuel Kalu,Tactical,,Rares Ilie,4244836
FC Luzern,Home,29',Yellow Card,Leny Meyer,Foul,,,4244836
FC Luzern,Home,45',Yellow Card,Nicky Beloko,Foul,,,4244836
FC Luzern,Home,51',Yellow Card,Denis Simani,Foul,,,4244836
FC Lausanne-Sport,Away,64',Yellow Card,Alvyn Sanches,Foul,,,4244836
FC Lausanne-Sport,Away,86',Yellow Card,Rares Ilie,Dissent,,,4244836
FC Lausanne-Sport,Away,90',Yellow Card,Chris Kablan,Foul,,,4244836
FC Lausanne-Sport,Away,90',Yellow Card,Fousseni Diabaté,Mass confrontation,,,4244836
FC Luzern,Home,90',Yellow Card,Nicolas Haas,Dissent,,,4244836
FC St. Gallen 1879,Home,10',Goal,Mihailo Stevanovic,Right-footed shot,,,4244837
FC St. Gallen 1879,Home,71',Goal,Lukas Görtler,Right-footed shot,Mattia Zanotti,,4244837
BSC Young Boys,Away,79',Goal,Silvere Ganvoula,Header,Lewin Blum,,4244837
BSC Young Boys,Away,87',Goal,Joel Mvuka,Right-footed shot,Ebrima Colley,,4244837
FC St. Gallen 1879,Home,56',Substitution,Lukas Görtler,Tactical,,Jovan Milosevic,4244837
FC St. Gallen 1879,Home,56',Substitution,Willem Geubbels,Tactical,,Chadrac Akolo,4244837
BSC Young Boys,Away,61',Substitution,Cedric Itten,Tactical,,Darian Males,4244837
BSC Young Boys,Away,61',Substitution,Lukasz Lakomy,Tactical,,Cheikh Niasse,4244837
BSC Young Boys,Away,69',Substitution,Joel Mvuka,Tactical,,Joël Monteiro,4244837
BSC Young Boys,Away,70',Substitution,Lewin Blum,Tactical,,Saidy Janko,4244837
FC St. Gallen 1879,Home,75',Substitution,Julian Von Moos,Tactical,,Mihailo Stevanovic,4244837
FC St. Gallen 1879,Home,75',Substitution,Corsin Konietzke,Tactical,,Víctor Ruiz,4244837
BSC Young Boys,Away,86',Substitution,Ebrima Colley,Tactical,,Sandro Lauper,4244837
BSC Young Boys,Away,47',Yellow Card,Cheikh Niasse,Foul,,,4244837
Yverdon Sport FC,Home,9',Goal,Kevin Carlos,Right-footed shot,Christopher Lungoyi,,4244838
Grasshopper Club Zurich,Away,51',Goal,Pascal Schürpf,Left-footed shot,Giotto Morandi,,4244838
Yverdon Sport FC,Home,54',Goal,Ricardo Alves,Counter attack goal,Dimitrije Kamenovic,,4244838
Yverdon Sport FC,Home,59',Goal,Boris Céspedes,Penalty,,,4244838
Grasshopper Club Zurich,Away,62',Goal,Pascal Schürpf,Left-footed shot,Dirk Abels,,4244838
Grasshopper Club Zurich,Away,60',Substitution,Théo Ndicka Matam,Tactical,,Florian Hoxha,4244838
Grasshopper Club Zurich,Away,60',Substitution,Bradley Fink,Tactical,,Francis Momoh,4244838
Yverdon Sport FC,Home,66',Substitution,Mauro Rodrigues,Tactical,,Ricardo Alves,4244838
Yverdon Sport FC,Home,66',Substitution,Aimen Mahious,Tactical,,Christopher Lungoyi,4244838
Yverdon Sport FC,Home,74',Substitution,Niklas Gunnarsson,Tactical,,Christian Marques,4244838
Grasshopper Club Zurich,Away,79',Substitution,Asumah Abubakar,Tactical,,Dirk Abels,4244838
Grasshopper Club Zurich,Away,84',Substitution,Dorian Babunski,Tactical,,Pascal Schürpf,4244838
Grasshopper Club Zurich,Away,84',Substitution,Awer Mabil,Tactical,,Amir Abrashi,4244838
Yverdon Sport FC,Home,88',Substitution,Breston Malula,Tactical,,Mathias Olesen,4244838
Yverdon Sport FC,Home,88',Substitution,Néhemie Lusuena,Tactical,,Kevin Carlos,4244838
Grasshopper Club Zurich,Away,22',Direct Red Card,Joshua Laws,Professional foul,,,4244838
Yverdon Sport FC,Home,66',Yellow Card,Dimitrije Kamenovic,Handball,,,4244838
Yverdon Sport FC,Home,67',Yellow Card,Mohamed Tijani,Foul,,,4244838
