Match ID,Home Team,HomeTeamPoints,AwayTeamPoints,Away Team,Result,League
3841065,FC St. Gallen 1879,1,1,Grasshopper Club Zurich,1:1 (1:1),Credit Suisse Super League
3841066,FC Winterthur,1,1,BSC Young Boys,1:1 (0:1),Credit Suisse Super League
3841067,FC Zürich,1,1,Servette FC,1:1 (0:0),Credit Suisse Super League
3841068,FC Basel 1893,1,1,FC St. Gallen 1879,1:1 (0:0),Credit Suisse Super League
3841069,Grasshopper Club Zurich,3,0,FC Winterthur,2:1 (1:0),Credit Suisse Super League
3841070,FC Lugano,3,0,FC Zürich,2:0 (2:0),Credit Suisse Super League
3841071,Servette FC,0,3,FC Luzern,0:3 (0:0),Credit Suisse Super League
3841072,BSC Young Boys,3,0,FC Sion,4:0 (2:0),Credit Suisse Super League
3841073,FC Lugano,1,1,Servette FC,1:1 (0:0),Credit Suisse Super League
3841074,FC Sion,0,3,Grasshopper Club Zurich,1:2 (1:1),Credit Suisse Super League
3841075,FC Winterthur,3,0,FC St. Gallen 1879,1:0 (0:0),Credit Suisse Super League
3841076,BSC Young Boys,3,0,FC Basel 1893,3:0 (0:0),Credit Suisse Super League
3841077,FC Zürich,3,0,FC Luzern,2:1 (1:1),Credit Suisse Super League
3841078,FC Basel 1893,3,0,FC Winterthur,2:0 (1:0),Credit Suisse Super League
3841079,Grasshopper Club Zurich,3,0,FC Lugano,2:1 (1:1),Credit Suisse Super League
3841080,FC Luzern,0,3,FC Sion,1:2 (0:0),Credit Suisse Super League
3841081,Servette FC,3,0,BSC Young Boys,2:1 (0:1),Credit Suisse Super League
3841082,FC St. Gallen 1879,1,1,FC Zürich,2:2 (1:1),Credit Suisse Super League
3841093,FC Lugano,1,1,FC St. Gallen 1879,1:1 (1:0),Credit Suisse Super League
3841094,FC Sion,1,1,Servette FC,2:2 (1:1),Credit Suisse Super League
3841095,FC Winterthur,0,3,FC Luzern,1:2 (0:1),Credit Suisse Super League
3841096,BSC Young Boys,3,0,Grasshopper Club Zurich,2:0 (0:0),Credit Suisse Super League
3841097,FC Zürich,1,1,FC Basel 1893,1:1 (1:1),Credit Suisse Super League
3841098,FC Basel 1893,1,1,BSC Young Boys,1:1 (0:1),Credit Suisse Super League
3841099,Grasshopper Club Zurich,0,3,FC Sion,1:3 (0:1),Credit Suisse Super League
3841100,FC Luzern,3,0,FC Zürich,4:1 (2:1),Credit Suisse Super League
3841101,Servette FC,1,1,FC Lugano,0:0 (0:0),Credit Suisse Super League
3841102,FC St. Gallen 1879,0,3,FC Winterthur,2:3 (2:3),Credit Suisse Super League
3841103,FC Basel 1893,0,3,FC Luzern,0:2 (0:0),Credit Suisse Super League
3841104,FC Lugano,3,0,FC Sion,2:0 (0:0),Credit Suisse Super League
3841105,FC Winterthur,0,3,Grasshopper Club Zurich,1:2 (0:2),Credit Suisse Super League
3841106,BSC Young Boys,3,0,Servette FC,6:1 (4:0),Credit Suisse Super League
3841107,FC Zürich,3,0,FC St. Gallen 1879,1:0 (0:0),Credit Suisse Super League
3841118,Grasshopper Club Zurich,3,0,BSC Young Boys,4:1 (2:1),Credit Suisse Super League
3841119,FC Luzern,3,0,FC Winterthur,3:1 (1:1),Credit Suisse Super League
3841120,Servette FC,3,0,FC Zürich,4:0 (2:0),Credit Suisse Super League
3841121,FC Sion,0,3,FC Basel 1893,1:2 (1:2),Credit Suisse Super League
3841122,FC St. Gallen 1879,0,3,FC Lugano,1:2 (1:0),Credit Suisse Super League
3841123,FC Lugano,3,0,Grasshopper Club Zurich,5:1 (1:1),Credit Suisse Super League
3841124,Servette FC,1,1,FC St. Gallen 1879,1:1 (1:1),Credit Suisse Super League
3841125,FC Winterthur,0,3,FC Basel 1893,1:4 (1:2),Credit Suisse Super League
3841126,BSC Young Boys,3,0,FC Luzern,5:1 (3:1),Credit Suisse Super League
3841127,FC Zürich,1,1,FC Sion,2:2 (1:2),Credit Suisse Super League
3841148,FC Basel 1893,0,3,FC Zürich,0:2 (0:0),Credit Suisse Super League
3841149,Grasshopper Club Zurich,0,3,Servette FC,2:3 (1:1),Credit Suisse Super League
3841150,FC Luzern,1,1,FC Lugano,2:2 (2:0),Credit Suisse Super League
3841151,FC Sion,0,3,FC Winterthur,0:1 (0:1),Credit Suisse Super League
3841152,FC St. Gallen 1879,0,3,BSC Young Boys,0:2 (0:0),Credit Suisse Super League
3841163,Grasshopper Club Zurich,3,0,FC Luzern,2:0 (0:0),Credit Suisse Super League
3841164,FC Lugano,3,0,FC Winterthur,2:1 (2:1),Credit Suisse Super League
3841165,Servette FC,3,0,FC Sion,5:0 (3:0),Credit Suisse Super League
3841166,FC St. Gallen 1879,3,0,FC Basel 1893,6:1 (3:0),Credit Suisse Super League
3841167,BSC Young Boys,1,1,FC Zürich,1:1 (1:1),Credit Suisse Super League
3841168,FC Basel 1893,1,1,FC Lugano,1:1 (1:0),Credit Suisse Super League
3841169,FC Luzern,1,1,FC St. Gallen 1879,1:1 (1:1),Credit Suisse Super League
3841170,FC Sion,0,3,BSC Young Boys,0:2 (0:1),Credit Suisse Super League
3841171,FC Winterthur,0,3,Servette FC,0:1 (0:0),Credit Suisse Super League
3841172,FC Zürich,3,0,Grasshopper Club Zurich,2:1 (1:1),Credit Suisse Super League
3841193,Grasshopper Club Zurich,1,1,FC St. Gallen 1879,2:2 (1:1),Credit Suisse Super League
3841194,FC Lugano,3,0,BSC Young Boys,2:0 (0:0),Credit Suisse Super League
3841195,Servette FC,1,1,FC Basel 1893,3:3 (1:1),Credit Suisse Super League
3841196,FC Sion,0,3,FC Luzern,1:2 (1:0),Credit Suisse Super League
3841197,FC Winterthur,0,3,FC Zürich,0:2 (0:2),Credit Suisse Super League
3841208,FC Basel 1893,3,0,Grasshopper Club Zurich,3:1 (0:0),Credit Suisse Super League
3841209,FC Luzern,0,3,Servette FC,0:1 (0:1),Credit Suisse Super League
3841210,FC St. Gallen 1879,3,0,FC Sion,4:0 (3:0),Credit Suisse Super League
3841211,BSC Young Boys,3,0,FC Winterthur,2:1 (1:0),Credit Suisse Super League
3841212,FC Zürich,0,3,FC Lugano,2:3 (0:2),Credit Suisse Super League
