Match ID,Home Team,Away Team,Result,League
4089764,FC Zürich,FC Stade-Lausanne-Ouchy,"1:1
(1:1)",Super League
4089765,FC Basel 1893,Yverdon Sport FC,"2:1
(1:0)",Super League
4089766,FC Lausanne-Sport,FC Lugano,"3:1
(0:0)",Super League
4089767,FC Luzern,Grasshopper Club Zurich,"2:0
(1:0)",Super League
4089768,FC Stade-Lausanne-Ouchy,FC St. Gallen 1879,"2:5
(2:1)",Super League
4089769,FC Winterthur,BSC Young Boys,"1:4
(1:2)",Super League
4089770,FC Zürich,Servette FC,"0:2
(0:1)",Super League
4089771,Grasshopper Club Zurich,FC Stade-Lausanne-Ouchy,"5:2
(4:1)",Super League
4089772,FC Lugano,FC Zürich,"0:3
(0:2)",Super League
4089773,Servette FC,FC Basel 1893,"4:1
(1:1)",Super League
4089774,FC St. Gallen 1879,FC Winterthur,"4:2
(3:1)",Super League
4089775,BSC Young Boys,FC Luzern,"6:1
(3:1)",Super League
4089776,Yverdon Sport FC,FC Lausanne-Sport,"2:2
(2:2)",Super League
4089777,FC Basel 1893,FC St. Gallen 1879,"2:0
(1:0)",Super League
4089778,FC Lausanne-Sport,FC Stade-Lausanne-Ouchy,"1:0
(0:0)",Super League
4089779,FC Luzern,FC Winterthur,"3:1
(1:0)",Super League
4089780,Servette FC,Grasshopper Club Zurich,"2:0
(1:0)",Super League
4089781,Yverdon Sport FC,FC Lugano,"0:5
(0:0)",Super League
4089782,FC Zürich,BSC Young Boys,"3:1
(2:1)",Super League
4089783,Grasshopper Club Zurich,FC Lausanne-Sport,"5:0
(0:0)",Super League
4089784,FC Lugano,FC Luzern,"1:0
(0:0)",Super League
4089785,FC St. Gallen 1879,Yverdon Sport FC,"4:0
(3:0)",Super League
4089786,FC Stade-Lausanne-Ouchy,FC Basel 1893,"1:1
(0:1)",Super League
4089787,FC Winterthur,FC Zürich,"2:1
(1:1)",Super League
4089788,BSC Young Boys,Servette FC,"1:1
(0:1)",Super League
4089789,FC Basel 1893,Grasshopper Club Zurich,"0:1
(0:0)",Super League
4089790,FC Lausanne-Sport,Servette FC,"1:1
(0:1)",Super League
4089791,FC Lugano,FC Winterthur,"2:1
(1:0)",Super League
