Club,Squad,Age,Legionaere,Value,Total Value,Title 1,Title 2,Season
FC Zürich,38,"25,0",17,713 Tsd. €,"27,08 Mio. €",,,2015
FC Luzern,31,"25,7",17,745 Tsd. €,"23,10 Mio. €",,,2015
FC St. Gallen 1879,34,"25,3",18,650 Tsd. €,"22,10 Mio. €",,,2015
FC Vaduz,36,"25,5",18,432 Tsd. €,"15,55 Mio. €",Liechtensteiner Cupsieger 14/15,,2015
FC Lugano,30,"24,6",18,503 Tsd. €,"15,10 Mio. €",,,2015
FC Thun,33,"24,4",6,444 Tsd. €,"14,65 Mio. €",,,2015
323,"24,8 Jahre",155,771 Tsd. €,"248,90 Mio. €",,,,2014
FC Basel 1893,31,"25,4",18,"2,11 Mio. €","65,40 Mio. €",Schweizer Meister 13/14,,2014
BSC Young Boys,30,"24,8",11,"1,19 Mio. €","35,65 Mio. €",,,2014
FC Sion,36,"24,8",18,771 Tsd. €,"27,75 Mio. €",,,2014
FC Zürich,33,"24,7",12,811 Tsd. €,"26,78 Mio. €",Schweizer Cupsieger 13/14,,2014
Grasshopper Club Zürich,35,"23,9",21,669 Tsd. €,"23,43 Mio. €",,,2014
FC Luzern,32,"25,4",15,589 Tsd. €,"18,85 Mio. €",,,2014
FC St. Gallen 1879,30,"25,9",15,518 Tsd. €,"15,55 Mio. €",,,2014
FC Thun,31,"25,2",8,458 Tsd. €,"14,20 Mio. €",,,2014
FC Aarau,38,"27,5",21,295 Tsd. €,"11,20 Mio. €",,,2014
FC Vaduz,27,"26,1",16,374 Tsd. €,"10,10 Mio. €",Liechtensteiner Cupsieger 13/14,,2014
