Club,H/A,Timestamp,Event,Player Event,Remark Event,Player Assist,Player Out,Match ID
FC Zürich,Away,90',Goal,Roko Simic,Penalty,,,3841148
FC Zürich,Away,90',Goal,Ifeanyi Mathew,Left-footed shot,Antonio Marchesano,,3841148
FC Basel 1893,Home,45',Substitution,Jean-Kévin Augustin,Injury,,Sergio López,3841148
FC Zürich,Away,54',Substitution,Bledian Krasniqi,Tactical,,Junior Ligue,3841148
FC Basel 1893,Home,71',Substitution,Bradley Fink,Tactical,,Andi Zeqiri,3841148
FC Basel 1893,Home,71',Substitution,Hugo Novoa,Tactical,,Dan Ndoye,3841148
FC Zürich,Away,79',Substitution,Roko Simic,Tactical,,Fabian Rohner,3841148
FC Zürich,Away,14',Yellow Card,Fidan Aliti,Foul,,,3841148
FC Basel 1893,Home,56',Yellow Card,Taulant Xhaka,Handball,,,3841148
FC Zürich,Away,76',Yellow Card,Lindrit Kamberi,Dissent,,,3841148
FC Zürich,Away,81',Yellow Card,Adrián Guerrero,Time wasting,,,3841148
FC Basel 1893,Home,85',Direct Red Card,Kasim Adams,Violent conduct,,,3841148
FC Basel 1893,Home,85',Yellow Card,Jean-Kévin Augustin,Mass confrontation,,,3841148
FC Zürich,Away,85',Yellow Card,Nikola Boranijasevic,Mass confrontation,,,3841148
FC Zürich,Away,85',Yellow Card,Nikola Katic,Mass confrontation,,,3841148
FC Zürich,Away,90',Yellow Card,Roko Simic,Taking off shirt,,,3841148
FC Basel 1893,Home,90',Direct Red Card,Wouter Burger,Violent conduct,,,3841148
FC Zürich,Away,90',Direct Red Card,Mirlind Kryeziu,"Mirlind Kryeziu
Red card",,,3841148
FC Zürich,Away,90',Yellow Card,Ifeanyi Mathew,Dissent,,,3841148
FC Basel 1893,Home,90',Direct Red Card,Taulant Xhaka,Violent conduct,,,3841148
Grasshopper Club Zurich,Home,7',Goal,Meritan Shabani,Right-footed shot,Renat Dadashov,,3841149
Servette FC,Away,40',Goal,Yoan Severin,Left-footed shot,Samba Diba,,3841149
Servette FC,Away,51',Goal,Miroslav Stevanovic,Right-footed shot,Kevin Mbabu,,3841149
Grasshopper Club Zurich,Home,67',Goal,Giotto Morandi,Header,Petar Pusic,,3841149
Servette FC,Away,82',Goal,Miroslav Stevanovic,Right-footed shot,Anthony Baron,,3841149
Grasshopper Club Zurich,Home,46',Substitution,Shkelqim Demhasaj,Tactical,,Renat Dadashov,3841149
Grasshopper Club Zurich,Home,61',Substitution,Giotto Morandi,Tactical,,Meritan Shabani,3841149
Servette FC,Away,68',Substitution,Ronny Rodelin,Tactical,,Chris Bedia,3841149
Servette FC,Away,68',Substitution,Alexis Antunes,Tactical,,Dereck Kutesa,3841149
Servette FC,Away,72',Substitution,Théo Valls,Injury,,Samba Diba,3841149
Grasshopper Club Zurich,Home,78',Substitution,Florian Hoxha,Injury,,Teruki Hara,3841149
Grasshopper Club Zurich,Home,78',Substitution,Dion Kacuri,Tactical,,Tsiy Ndenge,3841149
Servette FC,Away,84',Substitution,Nicolas Vouilloz,Tactical,,Steve Rouiller,3841149
Servette FC,Away,84',Substitution,Hussayn Touati,Tactical,,Patrick Pflücke,3841149
Grasshopper Club Zurich,Home,90',Substitution,Noah Blasucci,Tactical,,Hayao Kawabe,3841149
Grasshopper Club Zurich,Home,39',Yellow Card,Renat Dadashov,Foul,,,3841149
Grasshopper Club Zurich,Home,90',Yellow Card,Shkelqim Demhasaj,Dissent,,,3841149
FC Luzern,Home,27',Goal,Ismajl Beka,Tap-in,Severin Ottiger,,3841150
FC Luzern,Home,36',Goal,Max Meyer,Right-footed shot,Mohamed Dräger,,3841150
FC Lugano,Away,52',Goal,Zan Celar,Left-footed shot,Roman Macek,,3841150
FC Lugano,Away,74',Goal,Renato Steffen,Right-footed shot,Milton Valenzuela,,3841150
FC Lugano,Away,46',Substitution,Mohamed Belhadj Mahmoud,Tactical,,Jhon Espinoza,3841150
FC Luzern,Home,61',Substitution,Asumah Abubakar,Tactical,,Mohamed Dräger,3841150
FC Luzern,Home,61',Substitution,Mamady Diambou,Tactical,,Lars Villiger,3841150
FC Lugano,Away,61',Substitution,Mohamed Amoura,Tactical,,Ignacio Aliseda,3841150
FC Lugano,Away,81',Substitution,Mickaël Facchinetti,Tactical,,Uran Bislimi,3841150
FC Luzern,Home,88',Substitution,Luuk Breedijk,Tactical,,Pascal Schürpf,3841150
FC Luzern,Home,88',Substitution,Sofyan Chader,Tactical,,Max Meyer,3841150
FC Lugano,Away,89',Substitution,Johann Angstmann,Tactical,,Zan Celar,3841150
FC Lugano,Away,23',Yellow Card,Kreshnik Hajrizi,Foul,,,3841150
FC Lugano,Away,31',Yellow Card,Ousmane Doumbia,Foul,,,3841150
FC Luzern,Home,60',Yellow Card,Lars Villiger,Foul,,,3841150
FC Lugano,Away,78',Yellow Card,Milton Valenzuela,Foul,,,3841150
FC Luzern,Home,82',Yellow Card,Ismajl Beka,Foul,,,3841150
FC Luzern,Home,84',Yellow Card,Asumah Abubakar,Foul,,,3841150
FC Lugano,Away,90',Yellow Card,Renato Steffen,Foul,,,3841150
FC Winterthur,Away,21',Goal,Nishan Burkart,Left-footed shot,Hekuran Kryeziu,,3841151
FC Winterthur,Away,46',Substitution,Souleymane Diaby,Tactical,,Tobias Schättin,3841151
FC Sion,Home,46',Substitution,Kevin Halabaku,Tactical,,Ilyas Chouaref,3841151
FC Sion,Home,46',Substitution,Dimitri Cavaré,Tactical,,Numa Lavanchy,3841151
FC Sion,Home,46',Substitution,Denis Will Poha,Tactical,,Musa Araz,3841151
FC Sion,Home,65',Substitution,Kevin Bua,Tactical,,Yassin Fortuné,3841151
FC Winterthur,Away,66',Substitution,Michael Gonçalves,Injury,,Adrian Gantenbein,3841151
FC Winterthur,Away,66',Substitution,Sayfallah Ltaief,Tactical,,Nishan Burkart,3841151
FC Winterthur,Away,79',Substitution,Thibault Corbaz,Tactical,,Samir Ramizi,3841151
FC Winterthur,Away,87',Substitution,Remo Arnold,Tactical,,Matteo Di Giusto,3841151
FC Sion,Home,90',Substitution,Gaëtan Karlen,Tactical,,Giovanni Sio,3841151
FC Sion,Home,16',Yellow Card,Ilyas Chouaref,Foul,,,3841151
FC Winterthur,Away,56',Yellow Card,Hekuran Kryeziu,Foul,,,3841151
FC Sion,Home,71',Yellow Card,Mario Balotelli,Dissent,,,3841151
FC Sion,Home,71',Yellow Card,Giovanni Sio,Dissent,,,3841151
FC Winterthur,Away,73',Yellow Card,Matteo Di Giusto,Foul,,,3841151
FC Winterthur,Away,77',Yellow Card,Michael Gonçalves,Foul,,,3841151
FC Sion,Home,78',Yellow Card,Wylan Cyprien,Foul,,,3841151
FC Winterthur,Away,88',Yellow Card,Sayfallah Ltaief,Foul,,,3841151
BSC Young Boys,Away,53',Goal,Cedric Itten,Penalty,,,3841152
BSC Young Boys,Away,83',Goal,Jean-Pierre Nsame,Header,Filip Ugrinic,,3841152
FC St. Gallen 1879,Home,46',Substitution,Leon Dajaku,Tactical,,Willem Geubbels,3841152
FC St. Gallen 1879,Home,64',Substitution,Jordi Quintillà,Tactical,,Albert Vallci,3841152
BSC Young Boys,Away,65',Substitution,Meschack Elia,Tactical,,Donat Rrudhani,3841152
BSC Young Boys,Away,65',Substitution,Lewin Blum,Tactical,,Miguel Chaiwa,3841152
FC St. Gallen 1879,Home,71',Substitution,Isaac Schmidt,Tactical,,Michael Kempter,3841152
BSC Young Boys,Away,75',Substitution,Jean-Pierre Nsame,Tactical,,Cedric Itten,3841152
FC St. Gallen 1879,Home,80',Substitution,Chadrac Akolo,Tactical,,Christian Witzig,3841152
