Position,Player,Age,Market Value,Club,Gameday,H/A,Status,Match ID
Right-Back,Patrick Sutter,24,€400k,FC St. Gallen 1879,1. Matchday,Home,Substitute,4089694
Central Midfield,Mihailo Stevanovic,21,€300k,FC St. Gallen 1879,1. Matchday,Home,Substitute,4089694
Attacking Midfield,Richard van der Venne,31,€500k,FC St. Gallen 1879,1. Matchday,Home,Substitute,4089694
Attacking Midfield,Grégory Karlen,28,€300k,FC St. Gallen 1879,1. Matchday,Home,Substitute,4089694
Right Winger,Chadrac Akolo,28,€800k,FC St. Gallen 1879,1. Matchday,Home,Substitute,4089694
Right Winger,Albin Krasniqi,20,€125k,FC St. Gallen 1879,1. Matchday,Home,Substitute,4089694
Centre-Forward,Nikolaj Möller,21,€250k,FC St. Gallen 1879,1. Matchday,Home,Substitute,4089694
Goalkeeper,Marwin Hitz,35,€500k,FC Basel 1893,1. Matchday,Away,Starting,4089694
Centre-Back,Finn van Breemen,20,€800k,FC Basel 1893,1. Matchday,Away,Starting,4089694
Centre-Back,Arnau Comas,23,€1.50m,FC Basel 1893,1. Matchday,Away,Starting,4089694
Left-Back,Riccardo Calafiori,21,€4.50m,FC Basel 1893,1. Matchday,Away,Starting,4089694
Right-Back,Sergio López,24,€1.40m,FC Basel 1893,1. Matchday,Away,Starting,4089694
Defensive Midfield,Wouter Burger,22,€4.50m,FC Basel 1893,1. Matchday,Away,Starting,4089694
Defensive Midfield,Fabian Frei,34,€200k,FC Basel 1893,1. Matchday,Away,Starting,4089694
Right Midfield,Jonathan Dubasin,23,€1.50m,FC Basel 1893,1. Matchday,Away,Starting,4089694
Left Midfield,Dan Ndoye,22,€3.50m,FC Basel 1893,1. Matchday,Away,Starting,4089694
Attacking Midfield,Jean-Kévin Augustin,26,€1.30m,FC Basel 1893,1. Matchday,Away,Starting,4089694
Centre-Forward,Thierno Barry,20,€1.30m,FC Basel 1893,1. Matchday,Away,Starting,4089694
Goalkeeper,Mirko Salvi,29,€100k,FC Basel 1893,1. Matchday,Away,Substitute,4089694
Centre-Back,Nasser Djiga,20,€700k,FC Basel 1893,1. Matchday,Away,Substitute,4089694
Left-Back,Dominik Schmid,25,€2.50m,FC Basel 1893,1. Matchday,Away,Substitute,4089694
Right-Back,Michael Lang,32,€400k,FC Basel 1893,1. Matchday,Away,Substitute,4089694
Defensive Midfield,Leon Avdullahu,19,€100k,FC Basel 1893,1. Matchday,Away,Substitute,4089694
Attacking Midfield,Adriano Onyegbule,17,€200k,FC Basel 1893,1. Matchday,Away,Substitute,4089694
Left Winger,Liam Millar,23,€1.70m,FC Basel 1893,1. Matchday,Away,Substitute,4089694
Left Winger,Anton Kade,19,€1.00m,FC Basel 1893,1. Matchday,Away,Substitute,4089694
Centre-Forward,Andrin Hunziker,20,€350k,FC Basel 1893,1. Matchday,Away,Substitute,4089694
Goalkeeper,Markus Kuster,29,€600k,FC Winterthur,1. Matchday,Home,Starting,4089695
Centre-Back,Basil Stillhart,29,€500k,FC Winterthur,1. Matchday,Home,Starting,4089695
Centre-Back,Yannick Schmid,28,€500k,FC Winterthur,1. Matchday,Home,Starting,4089695
Left-Back,Souleymane Diaby,23,€500k,FC Winterthur,1. Matchday,Home,Starting,4089695
Right-Back,Silvan Sidler,25,€400k,FC Winterthur,1. Matchday,Home,Starting,4089695
Defensive Midfield,Luca Zuffi,33,€100k,FC Winterthur,1. Matchday,Home,Starting,4089695
Defensive Midfield,Alexandre Jankewitz,21,€500k,FC Winterthur,1. Matchday,Home,Starting,4089695
Right Midfield,Samuel Ballet,22,€400k,FC Winterthur,1. Matchday,Home,Starting,4089695
Left Midfield,Nishan Burkart,23,€500k,FC Winterthur,1. Matchday,Home,Starting,4089695
Attacking Midfield,Matteo Di Giusto,22,€1.00m,FC Winterthur,1. Matchday,Home,Starting,4089695
Centre-Forward,Aldin Turkes,27,€150k,FC Winterthur,1. Matchday,Home,Starting,4089695
Goalkeeper,Jozef Pukaj,23,€200k,FC Winterthur,1. Matchday,Home,Substitute,4089695
Centre-Back,Remo Arnold,26,€300k,FC Winterthur,1. Matchday,Home,Substitute,4089695
Left-Back,Tobias Schättin,26,€300k,FC Winterthur,1. Matchday,Home,Substitute,4089695
Right-Back,Michael Gonçalves,28,€200k,FC Winterthur,1. Matchday,Home,Substitute,4089695
Defensive Midfield,Thibault Corbaz,29,€200k,FC Winterthur,1. Matchday,Home,Substitute,4089695
Left Midfield,Samir Ramizi,31,€300k,FC Winterthur,1. Matchday,Home,Substitute,4089695
Attacking Midfield,Randy Schneider,21,€400k,FC Winterthur,1. Matchday,Home,Substitute,4089695
Left Winger,Sayfallah Ltaief,23,€400k,FC Winterthur,1. Matchday,Home,Substitute,4089695
Centre-Forward,Roman Buess,30,€200k,FC Winterthur,1. Matchday,Home,Substitute,4089695
Goalkeeper,Pascal Loretz,20,€800k,FC Luzern,1. Matchday,Away,Starting,4089695
Centre-Back,Ismajl Beka,23,€800k,FC Luzern,1. Matchday,Away,Starting,4089695
Centre-Back,Marco Burch,22,€4.00m,FC Luzern,1. Matchday,Away,Starting,4089695
Left-Back,Martin Frydek,31,€500k,FC Luzern,1. Matchday,Away,Starting,4089695
Right-Back,Severin Ottiger,20,€800k,FC Luzern,1. Matchday,Away,Starting,4089695
Defensive Midfield,Nicky Beloko,23,€2.40m,FC Luzern,1. Matchday,Away,Starting,4089695
Central Midfield,Pius Dorn,26,€1.20m,FC Luzern,1. Matchday,Away,Starting,4089695
Central Midfield,Max Meyer,27,€3.00m,FC Luzern,1. Matchday,Away,Starting,4089695
Right Midfield,Kevin Spadanuda,26,€700k,FC Luzern,1. Matchday,Away,Starting,4089695
Left Midfield,Teddy Okou,25,€750k,FC Luzern,1. Matchday,Away,Starting,4089695
Centre-Forward,Lars Villiger,20,€400k,FC Luzern,1. Matchday,Away,Starting,4089695
Goalkeeper,Vaso Vasic,33,€200k,FC Luzern,1. Matchday,Away,Substitute,4089695
Centre-Back,Denis Simani,31,€200k,FC Luzern,1. Matchday,Away,Substitute,4089695
Centre-Back,Luca Jaquez,20,€600k,FC Luzern,1. Matchday,Away,Substitute,4089695
Right-Back,Dario Ulrich,25,€300k,FC Luzern,1. Matchday,Away,Substitute,4089695
Central Midfield,Noah Rupp,19,€400k,FC Luzern,1. Matchday,Away,Substitute,4089695
Attacking Midfield,Jakub Kadák,22,€600k,FC Luzern,1. Matchday,Away,Substitute,4089695
Left Winger,Luuk Breedijk,19,€400k,FC Luzern,1. Matchday,Away,Substitute,4089695
Centre-Forward,Asumah Abubakar,26,€400k,FC Luzern,1. Matchday,Away,Substitute,4089695
Centre-Forward,Kemal Ademi,27,€500k,FC Luzern,1. Matchday,Away,Substitute,4089695
