Position,Player,Age,Market Value,Club,Gameday,H/A,Status,Match ID
Goalkeeper,Karlo Letica,27,€700k,FC Lausanne-Sport,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Home,Starting,4244791
Centre-Back,Gábor Szalai,23,€650k,FC Lausanne-Sport,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Home,Starting,4244791
Centre-Back,Noë Dussenne,31,€600k,FC Lausanne-Sport,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Home,Starting,4244791
Left-Back,Morgan Poaty,26,€500k,FC Lausanne-Sport,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Home,Starting,4244791
Right-Back,Raoul Giger,26,€500k,FC Lausanne-Sport,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Home,Starting,4244791
Defensive Midfield,Jamie Roche,22,€1.20m,FC Lausanne-Sport,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Home,Starting,4244791
Right Midfield,Donat Rrudhani,24,€400k,FC Lausanne-Sport,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Home,Starting,4244791
Left Midfield,Rares Ilie,20,€2.80m,FC Lausanne-Sport,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Home,Starting,4244791
Attacking Midfield,Antoine Bernede,24,€2.00m,FC Lausanne-Sport,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Home,Starting,4244791
Attacking Midfield,Simone Pafundi,17,€8.00m,FC Lausanne-Sport,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Home,Starting,4244791
Centre-Forward,Kaly Sène,22,€2.00m,FC Lausanne-Sport,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Home,Starting,4244791
Goalkeeper,Thomas Castella,30,€200k,FC Lausanne-Sport,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Home,Substitute,4244791
Centre-Back,Berkay Dabanli,33,€200k,FC Lausanne-Sport,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Home,Substitute,4244791
Centre-Back,Mickaël Nanizayamo,25,€200k,FC Lausanne-Sport,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Home,Substitute,4244791
Left-Back,Chris Kablan,29,€200k,FC Lausanne-Sport,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Home,Substitute,4244791
Right-Back,Haithem Loucif,27,€600k,FC Lausanne-Sport,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Home,Substitute,4244791
Defensive Midfield,Olivier Custodio,29,€400k,FC Lausanne-Sport,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Home,Substitute,4244791
Central Midfield,Stjepan Kukuruzovic,34,€100k,FC Lausanne-Sport,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Home,Substitute,4244791
Right Winger,Fousseni Diabaté,28,€2.50m,FC Lausanne-Sport,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Home,Substitute,4244791
Centre-Forward,Brighton Labeau,28,€700k,FC Lausanne-Sport,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Home,Substitute,4244791
Goalkeeper,Paul Bernardoni,26,€2.20m,Yverdon Sport FC,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Away,Starting,4244791
Centre-Back,Mohamed Tijani,26,€400k,Yverdon Sport FC,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Away,Starting,4244791
Centre-Back,Niklas Gunnarsson,32,€200k,Yverdon Sport FC,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Away,Starting,4244791
Left-Back,William Le Pogam,30,€300k,Yverdon Sport FC,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Away,Starting,4244791
Right-Back,Anthony Sauthier,33,€200k,Yverdon Sport FC,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Away,Starting,4244791
Defensive Midfield,Vladan Vidakovic,24,€300k,Yverdon Sport FC,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Away,Starting,4244791
Defensive Midfield,Liziero,26,€2.00m,Yverdon Sport FC,"24. Matchday | Sat, 2/17/24   |  6:00 PM",Away,Starting,4244791
