Club,H/A,Timestamp,Event,Player Event,Remark Event,Player Assist,Player Out,Match ID
FC Zürich,Away,68',Substitution,Bledian Krasniqi,Tactical,,Daniel Afriyie,4089701
Servette FC,Home,47',Yellow Card,Jérémy Guillemenot,Foul,,,4089701
Servette FC,Home,76',Yellow Card,Alexis Antunes,"Alexis Antunes
1. Yellow card",,,4089701
FC Zürich,Away,76',Yellow Card,Cheick Condé,Dissent,,,4089701
FC Zürich,Away,90',Yellow Card,Fabian Rohner,Dissent,,,4089701
Servette FC,Home,90',Yellow Card,David Douline,Foul,,,4089701
FC Luzern,Home,50',Goal,Lars Villiger,Left-footed shot,Max Meyer,,4089702
FC Stade-Lausanne-Ouchy,Away,82',Goal,Elies Mahmoud,Right-footed shot,,,4089702
FC Luzern,Home,85',Goal,Lars Villiger,Right-footed shot,Ardon Jashari,,4089702
FC Luzern,Home,46',Substitution,Ardon Jashari,Tactical,,Kevin Spadanuda,4089702
FC Luzern,Home,46',Substitution,Lars Villiger,Tactical,,Kemal Ademi,4089702
FC Stade-Lausanne-Ouchy,Away,46',Substitution,Rayan Kadima,Tactical,,Lavdrim Hajrulahu,4089702
FC Stade-Lausanne-Ouchy,Away,62',Substitution,Nathan Garcia,Tactical,,Mohamed Abdallah,4089702
FC Stade-Lausanne-Ouchy,Away,62',Substitution,Florian Danho,Tactical,,Zachary Hadji,4089702
FC Luzern,Home,63',Substitution,Teddy Okou,Tactical,,Dario Ulrich,4089702
FC Stade-Lausanne-Ouchy,Away,66',Substitution,Shaho Maroufi,Tactical,,Lamine Gassama,4089702
FC Luzern,Home,68',Substitution,Severin Ottiger,Tactical,,Jakub Kadák,4089702
FC Stade-Lausanne-Ouchy,Away,80',Substitution,Elies Mahmoud,Tactical,,Liridon Mulaj,4089702
FC Stade-Lausanne-Ouchy,Away,26',Yellow Card,Valon Hamdiu,Foul,,,4089702
FC Luzern,Home,30',Yellow Card,Jakub Kadák,Foul,,,4089702
FC Stade-Lausanne-Ouchy,Away,39',Yellow Card,Linus Obexer,Foul,,,4089702
FC Stade-Lausanne-Ouchy,Away,79',Yellow Card,Giovani Bamba,Foul,,,4089702
FC Luzern,Home,80',Yellow Card,Ismajl Beka,Foul,,,4089702
FC Stade-Lausanne-Ouchy,Away,84',Yellow Card,Elies Mahmoud,Foul,,,4089702
FC Stade-Lausanne-Ouchy,Away,87',Yellow Card,Florian Danho,Foul,,,4089702
FC Stade-Lausanne-Ouchy,Away,90',Direct Red Card,Elies Mahmoud,Violent conduct,,,4089702
FC Winterthur,Away,8',Goal,Matteo Di Giusto,Right-footed shot,,,4089703
FC Basel 1893,Home,41',Goal,Finn van Breemen,Left-footed shot,Dan Ndoye,,4089703
FC Basel 1893,Home,58',Goal,Dan Ndoye,Header,Finn van Breemen,,4089703
FC Basel 1893,Home,63',Goal,Jean-Kévin Augustin,Counter attack goal,Dan Ndoye,,4089703
FC Winterthur,Away,80',Goal,Basil Stillhart,Right-footed shot,,,4089703
FC Basel 1893,Home,90',Goal,Fabian Frei,Counter attack goal,Sergio López,,4089703
FC Basel 1893,Home,90',Goal,Fabian Frei,Penalty,,,4089703
FC Basel 1893,Home,59',Substitution,Anton Kade,Tactical,,Adriano Onyegbule,4089703
FC Winterthur,Away,59',Substitution,Randy Schneider,Tactical,,Matteo Di Giusto,4089703
FC Winterthur,Away,60',Substitution,Sayfallah Ltaief,Tactical,,Samuel Ballet,4089703
FC Winterthur,Away,68',Substitution,Thibault Corbaz,Tactical,,Alexandre Jankewitz,4089703
FC Winterthur,Away,68',Substitution,Aldin Turkes,Tactical,,Nishan Burkart,4089703
FC Basel 1893,Home,77',Substitution,Emmanuel Essiam,Tactical,,Dominik Schmid,4089703
FC Basel 1893,Home,82',Substitution,Sergio López,Tactical,,Michael Lang,4089703
FC Basel 1893,Home,82',Substitution,Nasser Djiga,Tactical,,Arnau Comas,4089703
FC Basel 1893,Home,82',Substitution,Junior Zé,Tactical,,Liam Millar,4089703
FC Winterthur,Away,89',Substitution,Samir Ramizi,Tactical,,Silvan Sidler,4089703
FC Winterthur,Away,23',Yellow Card,Yannick Schmid,Foul,,,4089703
FC Winterthur,Away,33',Yellow Card,Silvan Sidler,Foul,,,4089703
FC Basel 1893,Home,35',Yellow Card,Dominik Schmid,Foul,,,4089703
FC Basel 1893,Home,55',Yellow Card,Liam Millar,Foul,,,4089703
FC Winterthur,Away,63',Yellow Card,Roman Buess,Dissent,,,4089703
FC Winterthur,Away,87',Yellow Card,Randy Schneider,Foul,,,4089703
BSC Young Boys,Away,45',Goal,Jean-Pierre Nsame,Penalty,,,4089704
Yverdon Sport FC,Home,66',Goal,Varol Tasar,Left-footed shot,Brian Beyer,,4089704
BSC Young Boys,Away,77',Goal,Filip Ugrinic,Right-footed shot,Loris Benito,,4089704
Yverdon Sport FC,Home,85',Goal,Evans Maurin,Header,Johan Kury,,4089704
BSC Young Boys,Away,65',Substitution,Cedric Itten,Tactical,,Jean-Pierre Nsame,4089704
BSC Young Boys,Away,65',Substitution,Joël Monteiro,Tactical,,Kastriot Imeri,4089704
Yverdon Sport FC,Home,67',Substitution,Samuel Oum Gouet,Tactical,,Hugo Fargues,4089704
Yverdon Sport FC,Home,68',Substitution,Mauro Rodrigues,Tactical,,Varol Tasar,4089704
Yverdon Sport FC,Home,71',Substitution,Johan Kury,Injury,,Breston Malula,4089704
BSC Young Boys,Away,81',Substitution,Silvere Ganvoula,Tactical,,Meschack Elia,4089704
BSC Young Boys,Away,81',Substitution,Donat Rrudhani,Tactical,,Filip Ugrinic,4089704
Yverdon Sport FC,Home,82',Substitution,Mihael Klepac,Tactical,,Néhemie Lusuena,4089704
Yverdon Sport FC,Home,82',Substitution,Evans Maurin,Tactical,,Kevin Carlos,4089704
BSC Young Boys,Away,90',Substitution,Lewin Blum,Injury,,Saidy Janko,4089704
BSC Young Boys,Away,55',Yellow Card,Mohamed Camara,Foul,,,4089704
FC Stade-Lausanne-Ouchy,Home,68',Goal,Alban Ajdini,Penalty,,,4089705
Servette FC,Away,90',Goal,Patrick Pflücke,Direct free kick,,,4089705
FC Stade-Lausanne-Ouchy,Home,20',Substitution,Sahmkou Camara,Injury,,Lucas Pos,4089705
Servette FC,Away,57',Substitution,Chris Bedia,Tactical,,Hussayn Touati,4089705
FC Stade-Lausanne-Ouchy,Home,63',Substitution,Romain Bayard,Tactical,,Giovani Bamba,4089705
FC Stade-Lausanne-Ouchy,Home,63',Substitution,Alban Ajdini,Tactical,,Liridon Mulaj,4089705
Servette FC,Away,69',Substitution,Ronny Rodelin,Tactical,,Jérémy Guillemenot,4089705
Servette FC,Away,69',Substitution,Timothé Cognat,Tactical,,David Douline,4089705
FC Stade-Lausanne-Ouchy,Home,74',Substitution,Zachary Hadji,Tactical,,Florian Danho,4089705
FC Stade-Lausanne-Ouchy,Home,74',Substitution,Mohamed Abdallah,Tactical,,Nathan Garcia,4089705
Servette FC,Away,78',Substitution,Patrick Pflücke,Tactical,,Yoan Severin,4089705
Servette FC,Away,78',Substitution,Boubacar Fofana,Tactical,,Dereck Kutesa,4089705
FC Stade-Lausanne-Ouchy,Home,5',Yellow Card,Giovani Bamba,Foul,,,4089705
