Position,Player,Age,Market Value,Club,Gameday,H/A,Status,Match ID,matchday,weekday,date,time,Minutes Played,Player Event
Central Midfield,Timothé Cognat,25,€3.00m,Servette FC,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Starting,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,90,
Right Midfield,Miroslav Stevanovic,32,€2.00m,Servette FC,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Starting,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,90,
Left Midfield,Dereck Kutesa,25,€1.50m,Servette FC,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Starting,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,73,Substituted Out
Centre-Forward,Chris Bedia,27,€2.00m,Servette FC,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Starting,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,73,Substituted Out
Centre-Forward,Enzo Crivelli,28,€1.00m,Servette FC,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Starting,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,81,Substituted Out
Goalkeeper,Joël Mall,32,€500k,Servette FC,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Substitute,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,0,
Centre-Back,Nicolas Vouilloz,22,€2.20m,Servette FC,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Substitute,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,0,
Left-Back,Bradley Mazikou,27,€1.20m,Servette FC,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Substitute,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,0,
Attacking Midfield,Alexis Antunes,22,€1.00m,Servette FC,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Substitute,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,17,Substituted In
Left Winger,Patrick Pflücke,26,€900k,Servette FC,"1. Matchday | Sat, 7/22/23   |  6:00 PM",Away,Substitute,4089693,1. Matchday,Sat,2023-07-22,6:00 PM,0,
