Club,H/A,Timestamp,Event,Player Event,Remark Event,Player Assist,Player Out,Match ID
Servette FC,Home,88',Direct Red Card,Enzo Crivelli,Violent conduct,,,3841071
FC Luzern,Away,88',Yellow Card,Ismajl Beka,Unsporting behaviour,,,3841071
FC Luzern,Away,90',Yellow-Red Card,Mohamed Dräger,Foul,,,3841071
BSC Young Boys,Home,2',Goal,Meschack Elia,Tap-in,Christian Fassnacht,,3841072
BSC Young Boys,Home,38',Goal,Meschack Elia,Right-footed shot,Cedric Itten,,3841072
BSC Young Boys,Home,65',Goal,Fabian Rieder,Left-footed shot,Jean-Pierre Nsame,,3841072
BSC Young Boys,Home,86',Goal,Fabian Rieder,Left-footed shot,Sandro Lauper,,3841072
FC Sion,Away,58',Substitution,Kevin Halabaku,Tactical,,Musa Araz,3841072
BSC Young Boys,Home,64',Substitution,Jean-Pierre Nsame,Tactical,,Cedric Itten,3841072
BSC Young Boys,Home,64',Substitution,Quentin Maceiras,Tactical,,Lewin Blum,3841072
BSC Young Boys,Home,70',Substitution,Filip Ugrinic,Tactical,,Christian Fassnacht,3841072
BSC Young Boys,Home,70',Substitution,Donat Rrudhani,Tactical,,Ulisses Garcia,3841072
BSC Young Boys,Home,75',Substitution,Joël Monteiro,Tactical,,Meschack Elia,3841072
FC Sion,Away,76',Substitution,Kevin Bua,Tactical,,Ilyas Chouaref,3841072
FC Sion,Away,82',Substitution,Gaëtan Karlen,Tactical,,Itaitinga,3841072
FC Sion,Away,82',Substitution,Denis Will Poha,Tactical,,Anto Grgic,3841072
FC Sion,Away,21',Yellow Card,Ilyas Chouaref,Foul,,,3841072
FC Sion,Away,25',Direct Red Card,Giovanni Sio,Violent conduct,,,3841072
BSC Young Boys,Home,49',Yellow Card,Lewin Blum,Foul,,,3841072
Servette FC,Away,74',Goal,Théo Valls,Left-footed shot,Dereck Kutesa,,3841073
FC Lugano,Home,90',Goal,Zan Celar,Right-footed shot,Mohamed Amoura,,3841073
FC Lugano,Home,33',Substitution,Allan Arigoni,Injury,,Fabio Daprelà,3841073
FC Lugano,Home,63',Substitution,Mohamed Amoura,Tactical,,Roman Macek,3841073
Servette FC,Away,66',Substitution,Théo Valls,Tactical,,Alexis Antunes,3841073
Servette FC,Away,77',Substitution,Patrick Pflücke,Tactical,,Chris Bedia,3841073
Servette FC,Away,77',Substitution,Ilyes Chaïbi,Tactical,,Dereck Kutesa,3841073
FC Lugano,Home,79',Substitution,Mickaël Facchinetti,Tactical,,Milton Valenzuela,3841073
FC Lugano,Home,79',Substitution,Boris Babic,Tactical,,Uran Bislimi,3841073
FC Lugano,Home,79',Substitution,Jhon Espinoza,Tactical,,Kreshnik Hajrizi,3841073
Servette FC,Away,87',Substitution,Nicolas Vouilloz,Tactical,,Timothé Cognat,3841073
FC Lugano,Home,9',Yellow Card,Kreshnik Hajrizi,Foul,,,3841073
Servette FC,Away,21',Yellow Card,Alexis Antunes,Foul,,,3841073
Servette FC,Away,45',Yellow Card,Boris Céspedes,Foul,,,3841073
Servette FC,Away,58',Yellow Card,Chris Bedia,Foul,,,3841073
FC Lugano,Home,60',Yellow Card,Roman Macek,Foul,,,3841073
FC Lugano,Home,71',Yellow Card,Allan Arigoni,Foul,,,3841073
Grasshopper Club Zurich,Away,22',Goal,Meritan Shabani,Left-footed shot,Guilherme Schettine,,3841074
FC Sion,Home,37',Goal,Itaitinga,Header,Dennis Iapichino,,3841074
Grasshopper Club Zurich,Away,71',Goal,Guilherme Schettine,Right-footed shot,Christian Herc,,3841074
FC Sion,Home,46',Substitution,Luca Zuffi,Tactical,,Wylan Cyprien,3841074
Grasshopper Club Zurich,Away,68',Substitution,Amir Abrashi,Tactical,,Meritan Shabani,3841074
Grasshopper Club Zurich,Away,68',Substitution,Giotto Morandi,Tactical,,Shkelqim Demhasaj,3841074
FC Sion,Home,79',Substitution,Dimitri Cavaré,Tactical,,Denis Will Poha,3841074
FC Sion,Home,79',Substitution,José Aguilar,Tactical,,Dennis Iapichino,3841074
FC Sion,Home,79',Substitution,Abdel Zagré,Tactical,,Ilyas Chouaref,3841074
FC Sion,Home,84',Substitution,Kevin Halabaku,Tactical,,Numa Lavanchy,3841074
Grasshopper Club Zurich,Away,90',Substitution,Georg Margreitter,Delay,,Hayao Kawabe,3841074
Grasshopper Club Zurich,Away,90',Substitution,Petar Pusic,Delay,,Guilherme Schettine,3841074
Grasshopper Club Zurich,Away,32',Yellow Card,Guilherme Schettine,Foul,,,3841074
FC Sion,Home,60',Yellow Card,Numa Lavanchy,Foul,,,3841074
Grasshopper Club Zurich,Away,64',Yellow Card,Tomás Ribeiro,Dissent,,,3841074
FC Sion,Home,65',Yellow Card,Dennis Iapichino,Foul,,,3841074
Grasshopper Club Zurich,Away,73',Yellow Card,Hayao Kawabe,Foul,,,3841074
FC Sion,Home,84',Yellow Card,Reto Ziegler,Foul,,,3841074
FC Sion,Home,87',Yellow Card,Mario Balotelli,Dissent,,,3841074
FC Winterthur,Home,53',Goal,Noe Holenstein,Left-footed shot,,,3841075
FC Winterthur,Home,29',Substitution,Roy Gelmi,Injury,,Granit Lekaj,3841075
FC Winterthur,Home,46',Substitution,Eris Abedini,Tactical,,Remo Arnold,3841075
FC Winterthur,Home,46',Substitution,Noe Holenstein,Tactical,,Souleymane Diaby,3841075
FC St. Gallen 1879,Away,54',Substitution,Willem Geubbels,Tactical,,Chadrac Akolo,3841075
FC St. Gallen 1879,Away,54',Substitution,Leon Dajaku,Tactical,,Emmanuel Latte Lath,3841075
FC St. Gallen 1879,Away,76',Substitution,Noha Ndombasi,Tactical,,Grégory Karlen,3841075
FC St. Gallen 1879,Away,76',Substitution,Randy Schneider,Tactical,,Isaac Schmidt,3841075
FC Winterthur,Home,83',Substitution,Hekuran Kryeziu,Tactical,,Joaquín Ardaiz,3841075
FC Winterthur,Home,90',Substitution,Neftali Manzambi,Delay,,Roman Buess,3841075
FC St. Gallen 1879,Away,2',Direct Red Card,Julian Von Moos,Serious foul,,,3841075
FC Winterthur,Home,33',Yellow Card,Remo Arnold,Foul,,,3841075
FC St. Gallen 1879,Away,45',Yellow Card,Lukas Görtler,Foul,,,3841075
FC St. Gallen 1879,Away,70',Yellow Card,Isaac Schmidt,Foul,,,3841075
FC Winterthur,Home,71',Yellow Card,Eris Abedini,Unsporting behaviour,,,3841075
BSC Young Boys,Home,76',Goal,Cedric Itten,Right-footed shot,Filip Ugrinic,,3841076
BSC Young Boys,Home,80',Goal,Cedric Itten,Penalty,,,3841076
BSC Young Boys,Home,89',Goal,Cedric Itten,Header,Christian Fassnacht,,3841076
FC Basel 1893,Away,14',Substitution,Bradley Fink,Injury,,Andi Zeqiri,3841076
FC Basel 1893,Away,46',Substitution,Liam Millar,Tactical,,Darian Males,3841076
BSC Young Boys,Home,62',Substitution,Cedric Itten,Tactical,,Jean-Pierre Nsame,3841076
BSC Young Boys,Home,62',Substitution,Filip Ugrinic,Tactical,,Kastriot Imeri,3841076
BSC Young Boys,Home,62',Substitution,Aurèle Amenda,Tactical,,Fabian Lustenberger,3841076
FC Basel 1893,Away,64',Substitution,Jean-Kévin Augustin,Tactical,,Zeki Amdouni,3841076
FC Basel 1893,Away,81',Substitution,Anton Kade,Tactical,,Dan Ndoye,3841076
FC Basel 1893,Away,81',Substitution,Hugo Novoa,Tactical,,Sergio López,3841076
BSC Young Boys,Home,82',Substitution,Joël Monteiro,Tactical,,Meschack Elia,3841076
BSC Young Boys,Home,90',Substitution,Cheikh Niasse,Tactical,,Fabian Rieder,3841076
FC Basel 1893,Away,50',Yellow Card,Riccardo Calafiori,Foul,,,3841076
BSC Young Boys,Home,57',Yellow Card,Fabian Lustenberger,Foul,,,3841076
BSC Young Boys,Home,78',Yellow Card,Ulisses Garcia,Foul,,,3841076
FC Basel 1893,Away,79',Yellow Card,Marwin Hitz,Foul,,,3841076
BSC Young Boys,Home,90',Yellow Card,Cédric Zesiger,Dissent,,,3841076
FC Luzern,Away,21',Goal,Max Meyer,Penalty,,,3841077
FC Zürich,Home,32',Goal,Aiyegun Tosin,Penalty,,,3841077
FC Zürich,Home,76',Goal,Aiyegun Tosin,Right-footed shot,Fidan Aliti,,3841077
FC Zürich,Home,67',Substitution,Bledian Krasniqi,Tactical,,Ifeanyi Mathew,3841077
FC Luzern,Away,73',Substitution,Sofyan Chader,Tactical,,Severin Ottiger,3841077
FC Zürich,Home,82',Substitution,Marc Hornschuh,Tactical,,Blerim Dzemaili,3841077
FC Luzern,Away,84',Substitution,Benjamin Kimpioka,Tactical,,Pascal Schürpf,3841077
FC Luzern,Away,84',Substitution,Mamady Diambou,Tactical,,Dejan Sorgic,3841077
FC Zürich,Home,90',Substitution,Fabian Rohner,Delay,,Aiyegun Tosin,3841077
FC Luzern,Away,60',Yellow Card,Severin Ottiger,Foul,,,3841077
FC Zürich,Home,67',Yellow Card,Cheick Condé,Foul,,,3841077
FC Zürich,Home,90',Yellow Card,Bledian Krasniqi,Foul,,,3841077
FC Basel 1893,Home,25',Goal,Jean-Kévin Augustin,Right-footed shot,Anton Kade,,3841078
FC Basel 1893,Home,85',Goal,Bradley Fink,Header,Liam Millar,,3841078
FC Winterthur,Away,60',Substitution,Adrian Gantenbein,Tactical,,Michael Gonçalves,3841078
FC Winterthur,Away,60',Substitution,Eris Abedini,Tactical,,Remo Arnold,3841078
FC Basel 1893,Home,67',Substitution,Darian Males,Tactical,,Jean-Kévin Augustin,3841078
FC Winterthur,Away,72',Substitution,Thibault Corbaz,Tactical,,Hekuran Kryeziu,3841078
FC Winterthur,Away,72',Substitution,Carmine Chiappetta,Tactical,,Francisco Rodríguez,3841078
FC Basel 1893,Home,75',Substitution,Kasim Adams,Tactical,,Anton Kade,3841078
FC Basel 1893,Home,75',Substitution,Liam Millar,Tactical,,Zeki Amdouni,3841078
FC Winterthur,Away,79',Substitution,Neftali Manzambi,Tactical,,Roman Buess,3841078
FC Basel 1893,Home,90',Substitution,Emmanuel Essiam,Delay,,Taulant Xhaka,3841078
FC Winterthur,Away,12',Yellow Card,Remo Arnold,Foul,,,3841078
FC Basel 1893,Home,21',Yellow Card,Taulant Xhaka,Dissent,,,3841078
FC Basel 1893,Home,78',Yellow Card,Andy Diouf,Foul,,,3841078
FC Lugano,Away,30',Goal,Zan Celar,Header,Mohamed Amoura,,3841079
